RADIO,LOCALIDADE,DATAEHORA,CAMPANHA,FRASE
89 FM A Rádio Rock,São Paulo,Tue Oct 25 2022 07:59:44 GMT-0300 (Brasilia Standard Time),BOLSONARO,Neste domingo vinte e dois pelo bem do Brasil
89 FM A Rádio Rock,São Paulo,Tue Oct 25 2022 08:30:48 GMT-0300 (Brasilia Standard Time),LULA,Bolsonaro anunciou o fim dos reajustes pela inflação
89 FM A Rádio Rock,São Paulo,Tue Oct 25 2022 08:32:11 GMT-0300 (Brasilia Standard Time),BOLSONARO,Bolsonaro vai aumentar acima
89 FM A Rádio Rock,São Paulo,Tue Oct 25 2022 08:59:16 GMT-0300 (Brasilia Standard Time),LULA,Fala presidente Lula
89 FM A Rádio Rock,São Paulo,Tue Oct 25 2022 09:02:21 GMT-0300 (Brasilia Standard Time),LULA,Agora é lula
89 FM A Rádio Rock,São Paulo,Tue Oct 25 2022 09:03:46 GMT-0300 (Brasilia Standard Time),BOLSONARO,corrupção no governo Lula
89 FM A Rádio Rock,São Paulo,Tue Oct 25 2022 09:57:44 GMT-0300 (Brasilia Standard Time),BOLSONARO,Neste domingo vinte e dois pelo bem do Brasil
89 FM A Rádio Rock,São Paulo,Tue Oct 25 2022 10:35:46 GMT-0300 (Brasilia Standard Time),LULA,O Lula Brasil dois mil e vinte e três
89 FM A Rádio Rock,São Paulo,Tue Oct 25 2022 10:36:37 GMT-0300 (Brasilia Standard Time),BOLSONARO,Lula e da Dilma mandaram o dinheiro dos
89 FM A Rádio Rock,São Paulo,Tue Oct 25 2022 22:04:19 GMT-0300 (Brasilia Standard Time),LULA,Fala presidente Lula
89 FM A Rádio Rock,São Paulo,Tue Oct 25 2022 22:32:12 GMT-0300 (Brasilia Standard Time),BOLSONARO,corrupção no governo Lula
89 FM A Rádio Rock,São Paulo,Tue Oct 25 2022 23:03:18 GMT-0300 (Brasilia Standard Time),LULA,com Bolsonaro vai piorar
89 FM A Rádio Rock,São Paulo,Tue Oct 25 2022 23:03:58 GMT-0300 (Brasilia Standard Time),LULA,O Lula Brasil dois mil e vinte e três
89 FM A Rádio Rock,São Paulo,Tue Oct 25 2022 23:33:15 GMT-0300 (Brasilia Standard Time),BOLSONARO,Bolsonaro vinte e dois
89 FM A Rádio Rock,São Paulo,Tue Oct 25 2022 23:35:40 GMT-0300 (Brasilia Standard Time),LULA,Bolsonaro nunca deu e nem vai dar aumento real
89 FM A Rádio Rock,São Paulo,Tue Oct 25 2022 23:35:44 GMT-0300 (Brasilia Standard Time),LULA,Lula é salário mínimo forte e aumento acima
Band FM São Paulo,Eunapolis,Tue Oct 25 2022 08:11:47 GMT-0300 (Brasilia Standard Time),LULA,Bolsonaro anunciou o fim dos reajustes pela inflação
Band FM São Paulo,Eunapolis,Tue Oct 25 2022 08:26:37 GMT-0300 (Brasilia Standard Time),BOLSONARO,corrupção no governo Lula
Band FM São Paulo,Eunapolis,Tue Oct 25 2022 09:20:02 GMT-0300 (Brasilia Standard Time),LULA,Bolsonaro nunca deu e nem vai dar aumento real
Band FM São Paulo,Eunapolis,Tue Oct 25 2022 09:20:23 GMT-0300 (Brasilia Standard Time),LULA,Agora é lula
Band FM São Paulo,Eunapolis,Tue Oct 25 2022 09:39:43 GMT-0300 (Brasilia Standard Time),BOLSONARO,Lula e da Dilma mandaram o dinheiro dos
Band FM São Paulo,Eunapolis,Tue Oct 25 2022 09:52:28 GMT-0300 (Brasilia Standard Time),LULA,Bolsonaro anunciou o fim dos reajustes pela inflação
Band FM São Paulo,Eunapolis,Tue Oct 25 2022 21:26:51 GMT-0300 (Brasilia Standard Time),BOLSONARO,corrupção no governo Lula
Band FM São Paulo,Eunapolis,Tue Oct 25 2022 21:58:14 GMT-0300 (Brasilia Standard Time),BOLSONARO,Bolsonaro vinte e dois
Band FM São Paulo,Eunapolis,Tue Oct 25 2022 23:00:10 GMT-0300 (Brasilia Standard Time),BOLSONARO,Lula e da Dilma mandaram o dinheiro dos
Band FM São Paulo,Eunapolis,Tue Oct 25 2022 23:33:00 GMT-0300 (Brasilia Standard Time),LULA,com Bolsonaro vai piorar
Difusora FM,São Luís,Tue Oct 25 2022 10:04:12 GMT-0300 (Brasilia Standard Time),BOLSONARO,corrupção no governo Lula
GFM Salvador,Salvador,Tue Oct 25 2022 09:35:35 GMT-0300 (Brasilia Standard Time),BOLSONARO,Bolsonaro vai aumentar acima
GFM Salvador,Salvador,Tue Oct 25 2022 09:35:59 GMT-0300 (Brasilia Standard Time),BOLSONARO,Bolsonaro vinte e dois
GFM Salvador,Salvador,Tue Oct 25 2022 09:36:49 GMT-0300 (Brasilia Standard Time),LULA,com Bolsonaro vai piorar
GFM Salvador,Salvador,Tue Oct 25 2022 10:03:05 GMT-0300 (Brasilia Standard Time),BOLSONARO,corrupção no governo Lula
GFM Salvador,Salvador,Tue Oct 25 2022 10:04:06 GMT-0300 (Brasilia Standard Time),LULA,Fala presidente Lula
GFM Salvador,Salvador,Tue Oct 25 2022 10:04:42 GMT-0300 (Brasilia Standard Time),LULA,Agora é lula
GFM Salvador,Salvador,Tue Oct 25 2022 10:05:08 GMT-0300 (Brasilia Standard Time),BOLSONARO,Bolsonaro vai aumentar acima
GFM Salvador,Salvador,Tue Oct 25 2022 10:05:32 GMT-0300 (Brasilia Standard Time),BOLSONARO,Bolsonaro vinte e dois
Jovem Pan FM Araçatuba,São Paulo,Tue Oct 25 2022 07:58:17 GMT-0300 (Brasilia Standard Time),BOLSONARO,Bolsonaro vinte e dois
Jovem Pan FM Araçatuba,São Paulo,Tue Oct 25 2022 21:15:30 GMT-0300 (Brasilia Standard Time),BOLSONARO,Bolsonaro vinte e dois
