RADIO,LOCALIDADE,DATAEHORA,CAMPANHA,FRASE
103 FM Aracaju,Aracaju,Fri Oct 28 2022 08:39:58 GMT-0300 (Brasilia Standard Time),LULA,bolsonaro quer esconder esta notícia mas esta semana
103 FM Aracaju,Aracaju,Fri Oct 28 2022 09:05:12 GMT-0300 (Brasilia Standard Time),LULA,bolsonaro disse que para proteger o patrimônio
103 FM Aracaju,Aracaju,Fri Oct 28 2022 08:40:18 GMT-0300 (Brasilia Standard Time),LULA,salário mínimo e congelar qualquer reajuste da aposentadoria
103 FM Aracaju,Aracaju,Fri Oct 28 2022 09:04:54 GMT-0300 (Brasilia Standard Time),LULA,bolsonaro disse que para defender as famílias
103 FM Aracaju,Aracaju,Fri Oct 28 2022 10:37:07 GMT-0300 (Brasilia Standard Time),LULA,salário mínimo e congelar qualquer reajuste da aposentadoria
103 FM Aracaju,Aracaju,Fri Oct 28 2022 11:03:50 GMT-0300 (Brasilia Standard Time),LULA,bolsonaro disse que para defender as famílias
103 FM Aracaju,Aracaju,Fri Oct 28 2022 10:37:29 GMT-0300 (Brasilia Standard Time),LULA,aposentados que não votam em bolsonaro
103 FM Aracaju,Aracaju,Fri Oct 28 2022 11:52:32 GMT-0300 (Brasilia Standard Time),BOLSONARO,votar no lula é votar numa grande mentira
103 FM Aracaju,Aracaju,Fri Oct 28 2022 11:53:42 GMT-0300 (Brasilia Standard Time),LULA,fala presidente lula
103 FM Aracaju,Aracaju,Fri Oct 28 2022 12:02:23 GMT-0300 (Brasilia Standard Time),LULA,pobre que passou fome e se tornou o primeiro presidente
103 FM Aracaju,Aracaju,Fri Oct 28 2022 12:30:30 GMT-0300 (Brasilia Standard Time),BOLSONARO,não pode correr risco do pt voltar
103 FM Aracaju,Aracaju,Fri Oct 28 2022 13:01:15 GMT-0300 (Brasilia Standard Time),BOLSONARO,a propaganda do lula estar enganando você
103 FM Aracaju,Aracaju,Fri Oct 28 2022 12:32:34 GMT-0300 (Brasilia Standard Time),LULA,bolsonaro quer esconder esta notícia mas esta semana
103 FM Aracaju,Aracaju,Fri Oct 28 2022 13:01:32 GMT-0300 (Brasilia Standard Time),BOLSONARO,votar no lula é votar numa grande mentira
103 FM Aracaju,Aracaju,Fri Oct 28 2022 14:33:34 GMT-0300 (Brasilia Standard Time),BOLSONARO,se você voltar do lula estará votando numa mentira
103 FM Aracaju,Aracaju,Fri Oct 28 2022 14:33:52 GMT-0300 (Brasilia Standard Time),BOLSONARO,deus pátria família e liberdade
103 FM Aracaju,Aracaju,Fri Oct 28 2022 13:58:57 GMT-0300 (Brasilia Standard Time),LULA,bolsonaro disse que para proteger o patrimônio
103 FM Aracaju,Aracaju,Fri Oct 28 2022 14:34:28 GMT-0300 (Brasilia Standard Time),LULA,fala presidente lula
103 FM Aracaju,Aracaju,Fri Oct 28 2022 15:02:34 GMT-0300 (Brasilia Standard Time),BOLSONARO,votar no lula é votar numa grande mentira
103 FM Aracaju,Aracaju,Fri Oct 28 2022 15:33:37 GMT-0300 (Brasilia Standard Time),BOLSONARO,não pode correr risco do pt voltar
103 FM Aracaju,Aracaju,Fri Oct 28 2022 15:33:54 GMT-0300 (Brasilia Standard Time),BOLSONARO,bolsonaro vinte e dois
103 FM Aracaju,Aracaju,Fri Oct 28 2022 23:03:58 GMT-0300 (Brasilia Standard Time),BOLSONARO,a propaganda do lula estar enganando você
103 FM Aracaju,Aracaju,Fri Oct 28 2022 23:26:20 GMT-0300 (Brasilia Standard Time),LULA,salário mínimo e congelar qualquer reajuste da aposentadoria
103 FM Aracaju,Aracaju,Fri Oct 28 2022 22:32:15 GMT-0300 (Brasilia Standard Time),LULA,bolsonaro disse que para defender as famílias
103 FM Aracaju,Aracaju,Fri Oct 28 2022 23:28:22 GMT-0300 (Brasilia Standard Time),BOLSONARO,desmentir o que a propaganda do lula vem falando sobre o bolsonaro
103 FM Aracaju,Aracaju,Fri Oct 28 2022 23:27:32 GMT-0300 (Brasilia Standard Time),LULA,aposentados que não votam em bolsonaro
103 FM Aracaju,Aracaju,Fri Oct 28 2022 23:28:49 GMT-0300 (Brasilia Standard Time),BOLSONARO,não pode correr risco do pt voltar
90FM Blumenau,Blumenau,Fri Oct 28 2022 08:13:25 GMT-0300 (Brasilia Standard Time),BOLSONARO,deus pátria família e liberdade
Alternativa FM Eldorado,Campo Grande,Fri Oct 28 2022 10:04:38 GMT-0300 (Brasilia Standard Time),BOLSONARO,bolsonaro vinte e dois
Alternativa FM Eldorado,Campo Grande,Fri Oct 28 2022 11:02:28 GMT-0300 (Brasilia Standard Time),BOLSONARO,bolsonaro vinte e dois
Alternativa FM Eldorado,Campo Grande,Fri Oct 28 2022 12:03:18 GMT-0300 (Brasilia Standard Time),LULA,lula tem compromisso com o ele conhece nossos problemas
Alternativa FM Eldorado,Campo Grande,Fri Oct 28 2022 12:43:11 GMT-0300 (Brasilia Standard Time),BOLSONARO,bolsonaro vinte e dois
Alternativa FM Eldorado,Campo Grande,Fri Oct 28 2022 14:42:59 GMT-0300 (Brasilia Standard Time),BOLSONARO,bolsonaro vinte e dois
Alternativa FM Eldorado,Campo Grande,Fri Oct 28 2022 15:42:52 GMT-0300 (Brasilia Standard Time),BOLSONARO,bolsonaro vinte e dois
