RADIO,LOCALIDADE,DATAEHORA,CAMPANHA,FRASE
Jovem Pan News São Paulo,Bauru,Fri Oct 28 2022 08:07:04 GMT-0300 (Brasilia Standard Time),LULA,enquanto não deu nada de aumento real
Radio 96 FM,Nova Serrana,Fri Oct 28 2022 08:07:06 GMT-0300 (Brasilia Standard Time),BOLSONARO,a propaganda do lula estar enganando você
Rádio 105 FM,Jundiai,Fri Oct 28 2022 08:02:15 GMT-0300 (Brasilia Standard Time),BOLSONARO,a propaganda do lula estar enganando você
Rádio Brasil,Santa Barbara d'Oeste,Fri Oct 28 2022 08:02:34 GMT-0300 (Brasilia Standard Time),BOLSONARO,a propaganda do lula estar enganando você
Rádio Cidade FM,Olimpia,Fri Oct 28 2022 08:22:33 GMT-0300 (Brasilia Standard Time),LULA,aposentados que não votam em bolsonaro
Rádio Cidade FM Tubarão,Belém,Fri Oct 28 2022 08:47:32 GMT-0300 (Brasilia Standard Time),LULA,bolsonaro nunca deu e nem vai dar aumento real
Rádio Conceição 105.9 FM,Itajai,Fri Oct 28 2022 08:12:06 GMT-0300 (Brasilia Standard Time),BOLSONARO,a propaganda do lula estar enganando você
Rádio Cultura FM,Uberlandia,Fri Oct 28 2022 08:36:03 GMT-0300 (Brasilia Standard Time),BOLSONARO,bolsonaro vinte e dois
Rádio Cultura Santos Dumont,Santos Dumont,Fri Oct 28 2022 08:02:40 GMT-0300 (Brasilia Standard Time),LULA,bolsonaro disse que para defender a família
Rádio Deus é Amor São Paulo,Belém,Fri Oct 28 2022 08:04:33 GMT-0300 (Brasilia Standard Time),LULA,aposentados que não votam em bolsonaro
Rádio Deus é Amor São Paulo,Botelhos,Fri Oct 28 2022 08:04:36 GMT-0300 (Brasilia Standard Time),LULA,aposentados que não votam em bolsonaro
Rádio Furb FM,Blumenau,Fri Oct 28 2022 08:19:59 GMT-0300 (Brasilia Standard Time),LULA,aposentados que não votam em bolsonaro
Rádio Gospel FM Araras,Araras,Fri Oct 28 2022 07:30:28 GMT-0300 (Brasilia Standard Time),BOLSONARO,é só com bolsonaro que se o direito está garantido
Rádio Gospel FM Araras,Araras,Fri Oct 28 2022 07:30:28 GMT-0300 (Brasilia Standard Time),BOLSONARO,bolsonaro vinte e dois
Rádio Guarany  FM,Santarém,Fri Oct 28 2022 08:28:51 GMT-0300 (Brasilia Standard Time),LULA,bolsonaro disse que para defender a família
Rádio Integração FM,Sao Manuel,Fri Oct 28 2022 08:33:20 GMT-0300 (Brasilia Standard Time),LULA,fala presidente lula
Rádio Itatiaia FM Juiz de Fora,Juiz de Fora,Fri Oct 28 2022 08:28:53 GMT-0300 (Brasilia Standard Time),BOLSONARO,é só com bolsonaro que se o direito está garantido
Rádio Mania FM Rio,Santos Dumont,Fri Oct 28 2022 08:04:31 GMT-0300 (Brasilia Standard Time),BOLSONARO,bolsonaro vinte e dois
Rádio Massa FM Caçador,Caçador,Fri Oct 28 2022 08:38:34 GMT-0300 (Brasilia Standard Time),BOLSONARO,a propaganda do lula estar enganando você
Rádio Nossa FM,Patos de Minas,Fri Oct 28 2022 08:03:31 GMT-0300 (Brasilia Standard Time),BOLSONARO,corrupção no governo lula
Rádio Sagres 730 AM,Goiania,Fri Oct 28 2022 08:41:22 GMT-0300 (Brasilia Standard Time),LULA,aposentados que não votam em bolsonaro
Rádio Tamaran,Salvador do Sul,Fri Oct 28 2022 08:01:31 GMT-0300 (Brasilia Standard Time),BOLSONARO,bolsonaro vai aumentar acima
Rádio Tamaran,Salvador do Sul,Fri Oct 28 2022 08:02:08 GMT-0300 (Brasilia Standard Time),BOLSONARO,bolsonaro vinte e dois
Rádio Tamaran,Salvador do Sul,Fri Oct 28 2022 08:02:08 GMT-0300 (Brasilia Standard Time),BOLSONARO,bolsonaro vinte e dois
Rádio UFMG Educativa,Belo Horizonte,Fri Oct 28 2022 08:23:21 GMT-0300 (Brasilia Standard Time),BOLSONARO,bolsonaro vinte e dois
