[1666694565491] - sim
[1666694574222] - né
[1666694583011] - Nesse
[1666694583156] - eu
[1666694584732] - Eu
[1666694587810] - eu
[1666694591804] - eu
[1666694594225] - eu
[1666694600013] - Eu
[1666694601779] - Eu
[1666694604434] - eu
[1666694606589] - eu
[1666694609818] - isso
[1666694612622] - olha
[1666694627344] - fiz
[1666694630893] - como
[1666694637190] - Eu
[1666694637518] - isso
[1666694638995] - eu
[1666694642427] - eu
[1666694647529] - Eu
[1666694652671] - eu
[1666694654301] - Eu
[1666694655075] - fez
[1666694661955] - eu
[1666694664624] - né
[1666694672434] - eu
[1666694673734] - eu
[1666694674869] - isso
[1666694683739] - Eu
[1666694689263] - Né
[1666694694140] - Sete quarenta
[1666694697184] - e quatro.
[1666694701745] - Né
[1666694705232] - eu
[1666694710231] - Eu
[1666694714654] - né
[1666694716546] - isso
[1666694723391] - né
[1666694734130] - eu
[1666694734336] - joelho
[1666694735440] - eu
[1666694737471] - né
[1666694738935] - né
[1666694744470] - grande
[1666694747324] - eu
[1666694752498] - né
[1666694757998] - Hoje
[1666694769587] - eu
[1666694771296] - fui
[1666694774891] - eu
[1666694776764] - Eu
[1666694780120] - Né
[1666694783154] - Eu
[1666694788030] - Eu
[1666694792567] - Eu
[1666694794449] - Eu
[1666694799397] - Eu
[1666694799844] - Olha
[1666694804562] - Eu
[1666694810827] - Eu
[1666694817275] - Eu
[1666694820825] - Eu
[1666694823425] - Eu
[1666694827460] - Eu
[1666694831614] - Eu
[1666694835868] - fui
[1666694837571] - olha
[1666694841175] - eu
[1666694844977] - Eu
[1666694848057] - Eu
[1666694854049] - eu
[1666694859268] - Eu
[1666694860109] - Eu
[1666694865074] - eu
[1666694868432] - Eu
[1666694874329] - eu
[1666694876548] - Eu
[1666694881415] - eu
[1666694886815] - Eu
[1666694889346] - Eu
[1666694892878] - Eu
[1666694897492] - Eu
[1666694901190] - Eu
[1666694906375] - Eu
[1666694906854] - Olha
[1666694909423] - Eu
[1666694914185] - Eu
[1666694947301] - Eu
[1666694948987] - Eu
[1666694953001] - eu
[1666694956263] - Eu
[1666694957576] - eu
[1666694958945] - em vida
[1666694969279] - tem
[1666694982916] - né
[1666694990606] - eu
[1666694994760] - eu
[1666694998683] - né
[1666695002080] - eu
[1666695005084] - eu
[1666695008437] - eu
[1666695013046] - eu
[1666695016258] - nesse
[1666695021143] - eu
[1666695024546] - viva
[1666695027061] - né
[1666695032207] - eu
[1666695036268] - eu
[1666695038021] - Eu
[1666695049628] - né
[1666695084217] - né
[1666695089195] - eu
[1666695093749] - tchau
[1666695097126] - né
[1666695104933] - eu
[1666695115259] - né
[1666695122503] - eu
[1666695129629] - nesse
[1666695134347] - Eu
[1666695137882] - né
[1666695142748] - eu
[1666695147557] - eu
[1666695151146] - Né
[1666695156244] - tchau
[1666695165497] - isso
[1666695174099] - eu
[1666695178014] - Eu
[1666695181984] - eu
[1666695185511] - eu
[1666695190017] - eu
[1666695192931] - Eu
[1666695198123] - sete e cinquenta e três.
[1666695198123] - Eu
[1666695199414] - né
[1666695200361] - né
[1666695201947] - eu
[1666695207175] - eu
[1666695210048] - eu
[1666695213918] - eu
[1666695219189] - digno
[1666695231320] - e poder
[1666695239221] - fiz
[1666695248366] - olha
[1666695249472] - eu
[1666695254604] - de
[1666695256468] - dele
[1666695262187] - né
[1666695267048] - poder
[1666695272016] - né
[1666695272354] - né
[1666695277393] - dia
[1666695284133] - Eu
[1666695288977] - Eu
[1666695294911] - eu
[1666695305261] - eu
[1666695307577] - menos
[1666695319272] - né
