
[1666928878700] - ah sim
[1666928878700] - o século vinte
[1666928878700] - não
[1666928843008] - art
[1666928843008] - c
[1666928843008] - dois
[1666928843008] - <UNK>
[1666928826046] - nossa
[1666928826046] - <UNK>
[1666928826046] - bom
[1666928826046] - <UNK>
[1666928865628] - c
[1666928865628] - <UNK>
[1666928865628] - sim
[1666928945094] - <UNK>
[1666928945094] - você
[1666928945094] - fonte
[1666928945094] - <UNK>
[1666928945195] - um
[1666928945195] - <UNK>
[1666928945195] - atenção
[1666928945195] - <UNK>
[1666928899647] - assim
[1666928899647] - <UNK>
[1666928899647] - risos
[1666928899647] - <UNK>
